_RAJ2000;_DEJ2000;Name;GLON;GLAT;z;Mbh;e_Mbh;Dist;SimbadName;NED;_RA.icrs;_DE.icrs
299.1983650;-37.3283887;IC 4913                ;003.09446;-28.39763; 0.01208; 111.759;  55.879; 49.6;IC 4913                ;NED;299.19836;-37.32839
347.4141087;-36.4201439;ESO 407- G 007         ;003.25009;-66.55000; 0.00548;  21.482;  10.741; 22.5;ESO 407- G 007         ;NED;347.41411;-36.42014
213.7167565;+14.1258322;UGC 09117              ;003.34804;+66.60703; 0.01660;  88.688;  44.344; 68.2;UGC 09117              ;NED;213.71676;+14.12583
228.8940781;+02.2481779;CGCG 021-058           ;003.36054;+47.47927; 0.00617;  12.036;   6.018; 25.3;Z 021-058              ;NED;228.89408;+02.24818
209.0004734;+17.5115119;IC 0960B               ;003.44528;+72.26776; 0.02160; 147.033;  73.516; 88.7;IC 0960B               ;NED;209.00047;+17.51151
291.9631293;-35.0484634;ESO 398- G 002         ;003.71815;-22.15650; 0.01838; 161.352;  80.676; 75.5;ESO 398- G 002         ;NED;291.96313;-35.04846
311.1222904;-38.5172873;2MASX J20442938-3831021;003.72215;-37.85716; 0.02313; 188.968;  94.484; 95.0;2MASX J20442938-3831021;NED;311.12229;-38.51729
325.7989313;-38.9683288;IC 5128                ;003.72512;-49.30090; 0.01576; 131.961;  65.980; 64.7;IC 5128                ;NED;325.79893;-38.96833
295.6208334;-35.8750502;ESO 398- G 022         ;003.82803;-25.24639; 0.01905; 166.734;  83.367; 78.2;ESO 398- G 022         ;NED;295.62083;-35.87505
346.7704052;-36.2754207;NGC 7484               ;003.94368;-66.08940; 0.00910; 152.711;  76.356; 37.4;NGC 7484               ;NED;346.77041;-36.27542
234.4703950;-01.7352759;UGC 09939              ;003.94581;+40.64012; 0.01137;  54.987;  27.494; 46.7;UGC 09939              ;NED;234.47039;-01.73528
213.9133817;+14.2825817;NGC 5525               ;003.95104;+66.54829; 0.01852; 370.178; 185.089; 76.1;NGC 5525               ;NED;213.91338;+14.28258
