_RAJ2000;_DEJ2000;Name;GLON;GLAT;z;Mbh;e_Mbh;Dist;SimbadName;NED;_RA.icrs;_DE.icrs
355.5035136;-03.6151739;ARP 295B               ;084.72544;-61.22638; 0.02324; 189.021;  94.511; 95.4;ARP 295B               ;NED;355.50351;-03.61517
224.1001208;+49.6960168;NGC 5797               ;084.74711;+57.13488; 0.01327; 161.385;  80.693; 54.5;NGC 5797               ;NED;224.10012;+49.69602
231.4445234;+52.4446561;UGC 09853              ;085.03042;+51.76967; 0.01948; 141.004;  70.502; 80.0;UGC 09853              ;NED;231.44452;+52.44466
291.0130521;+53.6247926;NGC 6798               ;085.06125;+16.99425; 0.00797;  71.010;  35.505; 32.7;NGC 6798               ;NED;291.01305;+53.62479
348.9895517;+06.6875449;NGC 7562               ;085.11322;-49.04505; 0.01203; 587.626; 293.813; 49.4;NGC 7562               ;NED;348.98955;+06.68754
345.1549401;+12.7824420;UGC 12300              ;085.41988;-41.87771; 0.00765;  22.148;  11.074; 31.4;UGC 12300              ;NED;345.15494;+12.78244
009.1610874;-22.5935378;NGC 0168               ;085.63571;-84.35963; 0.01298;  62.451;  31.225; 53.3;NGC 0168               ;NED;009.16109;-22.59354
350.4885955;+05.0358156;UGC 12548              ;085.65850;-51.24271; 0.01700; 132.112;  66.056; 69.8;UGC 12548              ;NED;350.48860;+05.03582
339.1167076;+21.6218402;NGC 7321               ;085.73696;-31.33000; 0.02383; 381.018; 190.509; 97.9;NGC 7321               ;NED;339.11671;+21.62184
262.0057330;+57.5218021;NGC 6385               ;085.83710;+33.69641; 0.01120;  63.665;  31.833; 46.0;NGC 6385               ;NED;262.00573;+57.52180
001.3048600;-11.5028405;IC 1529                ;085.91296;-70.97372; 0.02256; 287.020; 143.510; 92.6;IC 1529                ;NED;001.30486;-11.50284
292.7928833;+54.0924348;UGC 11453 NOTES01      ;085.94532;+16.21788; 0.01250; 140.152;  70.076; 51.3;                       ;NED;292.79288;+54.09243
292.7834240;+54.1021802;UGC 11453              ;085.95223;+16.22692; 0.01283; 178.801;  89.401; 52.7;UGC 11453              ;NED;292.78342;+54.10218
286.2639168;+55.7151743;NGC 6757               ;086.09328;+20.30297; 0.00794;  35.952;  17.976; 32.6;NGC 6757               ;NED;286.26392;+55.71517
331.9681858;+31.3593154;NGC 7217               ;086.50642;-19.70716; 0.00318; 120.545;  60.272; 13.0;NGC 7217               ;NED;331.96819;+31.35932
354.1310569;+00.2973146;NGC 7716               ;086.59166;-57.19155; 0.00860;  89.865;  44.932; 35.3;NGC 7716               ;NED;354.13106;+00.29731
352.1943842;+03.5114267;NGC 7679               ;086.67942;-53.44007; 0.01714; 185.763;  92.881; 70.4;NGC 7679               ;NED;352.19438;+03.51143
204.3704271;+38.9704896;UGC 08620              ;086.77889;+74.75257; 0.02025; 127.726;  63.863; 83.2;UGC 08620              ;NED;204.37043;+38.97049
352.2663362;+03.5333433;NGC 7682               ;086.80132;-53.45925; 0.01714; 156.823;  78.411; 70.4;NGC 7682               ;NED;352.26634;+03.53334
203.7405033;+38.4574297;UGC 08564              ;086.85247;+75.46282; 0.02084; 233.292; 116.646; 85.6;UGC 08564              ;NED;203.74050;+38.45743
218.8736504;+48.7415832;NGC 5689               ;086.98052;+60.48521; 0.00720; 146.236;  73.118; 29.6;NGC 5689               ;NED;218.87365;+48.74158
250.3649808;+57.7835970;NGC 6211               ;087.08432;+39.84213; 0.01759; 265.381; 132.691; 72.2;NGC 6211               ;NED;250.36498;+57.78360
249.7472015;+57.7240360;UGC 10500              ;087.10080;+40.17685; 0.01740; 161.412;  80.706; 71.5;UGC 10500              ;NED;249.74720;+57.72404
349.1855872;+08.9054754;NGC 7569               ;087.14805;-47.27996; 0.02172; 252.248; 126.124; 89.2;NGC 7569               ;NED;349.18559;+08.90548
227.3047340;+52.5283774;NGC 5875               ;087.15828;+53.94009; 0.01176; 150.166;  75.083; 48.3;NGC 5875               ;NED;227.30473;+52.52838
349.7985134;+08.1093248;IC 5309                ;087.29332;-48.27584; 0.01400;  67.582;  33.791; 57.5;IC 5309                ;NED;349.79851;+08.10932
339.3522052;+23.7983706;NGC 7332               ;087.38890;-29.66903; 0.00391; 126.080;  63.040; 16.1;NGC 7332               ;NED;339.35221;+23.79837
349.9024739;+08.0632668;NGC 7611               ;087.38900;-48.36894; 0.01085; 142.458;  71.229; 44.5;NGC 7611               ;NED;349.90247;+08.06327
352.7268440;+03.5466146;NGC 7687               ;087.47343;-53.68764; 0.01549; 154.009;  77.005; 63.6;NGC 7687               ;NED;352.72684;+03.54661
350.0533098;+07.9321001;UGC 12518              ;087.47792;-48.55878; 0.00930;  36.541;  18.270; 38.2;UGC 12518              ;NED;350.05331;+07.93210
201.2546416;+36.3994934;NGC 5142               ;087.47979;+78.31073; 0.01874; 204.711; 102.356; 76.9;NGC 5142               ;NED;201.25464;+36.39949
201.2143297;+36.3781899;NGC 5141               ;087.53546;+78.34788; 0.01738; 272.043; 136.021; 71.4;NGC 5141               ;NED;201.21433;+36.37819
350.0375198;+08.1657217;NGC 7617               ;087.64108;-48.35114; 0.01392;  87.502;  43.751; 57.1;NGC 7617               ;NED;350.03752;+08.16572
341.6334655;+21.0836783;NGC 7375               ;087.66390;-33.09816; 0.02325; 287.042; 143.521; 95.5;NGC 7375               ;NED;341.63347;+21.08368
009.3930859;-22.5492858;NGC 0177               ;087.69891;-84.44542; 0.01279;  87.350;  43.675; 52.5;NGC 0177               ;NED;009.39309;-22.54929
350.0604766;+08.2062666;NGC 7619               ;087.70196;-48.32828; 0.01255; 656.665; 328.332; 51.5;NGC 7619               ;NED;350.06048;+08.20627
345.4513475;+15.5824943;NGC 7461               ;087.75020;-39.68439; 0.01411; 120.733;  60.367; 58.0;NGC 7461               ;NED;345.45135;+15.58249
349.9341398;+08.5764080;NGC 7612               ;087.82916;-47.94694; 0.01072; 119.326;  59.663; 44.0;NGC 7612               ;NED;349.93414;+08.57641
350.1761850;+08.2173820;NGC 7626               ;087.85806;-48.37806; 0.01136; 509.086; 254.543; 46.6;NGC 7626               ;NED;350.17618;+08.21738
350.1250517;+08.3958374;NGC 7623               ;087.93143;-48.19911; 0.01247; 164.611;  82.306; 51.2;NGC 7623               ;NED;350.12505;+08.39584
255.2349331;+58.9704637;NGC 6290               ;087.98898;+37.11769; 0.01727; 158.024;  79.012; 70.9;NGC 6290               ;NED;255.23493;+58.97046
254.6305665;+58.9362106;NGC 6286               ;088.00647;+37.43095; 0.01835; 270.030; 135.015; 75.4;NGC 6286               ;NED;254.63057;+58.93621
345.4665570;+15.9818806;NGC 7463               ;088.04117;-39.35372; 0.00781;  31.346;  15.673; 32.1;NGC 7463               ;NED;345.46656;+15.98188
345.5039635;+15.9648563;NGC 7465               ;088.06898;-39.38720; 0.00656;  42.331;  21.165; 27.0;NGC 7465               ;NED;345.50396;+15.96486
350.3610987;+08.2176615;NGC 7631               ;088.09465;-48.47211; 0.01252; 108.327;  54.163; 51.4;NGC 7631               ;NED;350.36110;+08.21766
320.4126067;+44.0639313;2MASX J21213904+4403499;088.09941;-04.16694; 0.01270; 312.317; 156.158; 52.2;2MASX J21213904+4403499;NED;320.41261;+44.06393
345.2770940;+16.3883842;NGC 7454               ;088.11972;-38.91254; 0.00674;  62.515;  31.258; 27.7;NGC 7454               ;NED;345.27709;+16.38838
267.8247177;+59.4708434;NGC 6497               ;088.15702;+30.66692; 0.02055; 269.141; 134.571; 84.4;NGC 6497               ;NED;267.82472;+59.47084
250.0327431;+58.6173173;NGC 6206               ;088.19365;+39.83064; 0.01840; 145.941;  72.970; 75.6;NGC 6206               ;NED;250.03274;+58.61732
354.0587147;+02.1551728;NGC 7714               ;088.21568;-55.56407; 0.00933;  69.860;  34.930; 38.3;NGC 7714               ;NED;354.05871;+02.15517
320.1769046;+44.3997890;2MASX J21204248+4423590;088.21842;-03.81025; 0.01299; 420.539; 210.269; 53.3;2MASX J21204248+4423590;NED;320.17690;+44.39979
356.3333116;-01.6848916;NGC 7746               ;088.24269;-60.02699; 0.02296; 292.209; 146.104; 94.3;NGC 7746               ;NED;356.33331;-01.68489
356.5144357;-01.8908894;UGC 12774              ;088.34697;-60.29628; 0.02213; 223.578; 111.789; 90.9;UGC 12774              ;NED;356.51444;-01.89089
244.7979509;+57.9841733;NGC 6125               ;088.35440;+42.64986; 0.01611; 373.417; 186.709; 66.2;NGC 6125               ;NED;244.79795;+57.98417
356.8288479;-02.3135011;IC 5351                ;088.46479;-60.81970; 0.02111; 195.111;  97.556; 86.7;IC 5351                ;NED;356.82885;-02.31350
339.1369522;+25.7632321;IC 5233                ;088.46537;-27.93433; 0.02460; 182.834;  91.417;101.0;IC 5233                ;NED;339.13695;+25.76323
356.8457660;-02.3006668;IC 5357                ;088.50800;-60.81713; 0.02312; 395.800; 197.900; 95.0;IC 5357                ;NED;356.84577;-02.30067
295.9194229;+56.1094870;NGC 6824               ;088.63056;+15.44857; 0.01129; 433.993; 216.997; 46.4;NGC 6824               ;NED;295.91942;+56.10949
350.4239753;+08.8869333;NGC 7634               ;088.68727;-47.92826; 0.01076; 147.910;  73.955; 44.2;NGC 7634               ;NED;350.42398;+08.88693
216.5507364;+48.5639315;NGC 5622               ;088.70556;+61.78643; 0.01288;  63.966;  31.983; 52.9;NGC 5622               ;NED;216.55074;+48.56393
357.0470979;-02.4325846;MCG -01-60-041         ;088.72967;-61.03222; 0.02254; 324.233; 162.116; 92.6;MCG -01-60-041         ;NED;357.04710;-02.43258
323.3941152;+42.7241525;2MASX J21333460+4243266;088.73130;-06.63509; 0.01361;  65.621;  32.810; 55.9;2MASX J21333460+4243266;NED;323.39412;+42.72415
308.8700862;+51.5910052;2MASX J20352885+5135274;088.73340;+06.59378; 0.01076;  89.647;  44.823; 44.2;2MASX J20352885+5135274;NED;308.87009;+51.59101
207.6494985;+42.5414563;UGC 08756              ;088.74638;+70.44290; 0.00452;   9.570;   4.785; 18.5;UGC 08756              ;NED;207.64950;+42.54146
336.9604374;+29.0960154;NGC 7286               ;088.78893;-24.09338; 0.00336;   3.466;   1.733; 13.8;NGC 7286               ;NED;336.96044;+29.09602
330.9668802;+35.9905410;UGC 11892              ;088.82060;-15.55020; 0.01881; 340.393; 170.196; 77.2;UGC 11892              ;NED;330.96688;+35.99054
320.1923644;+45.2728248;2MASX J21204618+4516221;088.84636;-03.20240; 0.00076;   2.492;   1.246;  3.1;2MASX J21204618+4516221;NED;320.19236;+45.27282
206.2861312;+41.5032895;NGC 5289               ;088.90984;+71.89228; 0.00843;  58.000;  29.000; 34.6;NGC 5289               ;NED;206.28613;+41.50329
343.6454566;+20.2362030;NGC 7411               ;089.02259;-34.82808; 0.02280; 264.740; 132.370; 93.6;NGC 7411               ;NED;343.64546;+20.23620
335.9040616;+30.8570425;UGC 12018              ;089.07483;-22.12633; 0.02247; 169.215;  84.608; 92.3;UGC 12018              ;NED;335.90406;+30.85704
262.4970044;+60.3502522;UGC 10888              ;089.21497;+33.33113; 0.02051; 144.479;  72.239; 84.2;UGC 10888              ;NED;262.49700;+60.35025
218.1133939;+49.9046542;IC 1029                ;089.43589;+60.13936; 0.00795; 107.056;  53.528; 32.6;IC 1029                ;NED;218.11339;+49.90465
334.3158080;+33.5039326;UGC 11974              ;089.55422;-19.19185; 0.02130; 185.775;  92.888; 87.5;UGC 11974              ;NED;334.31581;+33.50393
259.6710359;+60.6080795;NGC 6361               ;089.65216;+34.70000; 0.01271; 239.012; 119.506; 52.2;NGC 6361               ;NED;259.67104;+60.60808
263.8850353;+60.8133337;NGC 6411               ;089.73064;+32.62963; 0.01269; 126.623;  63.312; 52.1;NGC 6411               ;NED;263.88504;+60.81333
356.0084746;+00.5167337;NGC 7738               ;089.81720;-57.95446; 0.02256; 362.003; 181.001; 92.6;NGC 7738               ;NED;356.00847;+00.51673
356.1253077;+00.3204549;NGC 7739               ;089.82982;-58.18278; 0.02213; 147.703;  73.852; 90.9;NGC 7739               ;NED;356.12531;+00.32045
227.3813876;+54.5064275;NGC 5876               ;089.92141;+52.84439; 0.01093; 119.693;  59.847; 44.9;NGC 5876               ;NED;227.38139;+54.50643
350.9750597;+09.6674917;NGC 7648               ;089.96704;-47.52330; 0.01187; 120.126;  60.063; 48.8;NGC 7648               ;NED;350.97506;+09.66749
256.9037005;+60.7287259;NGC 6306               ;090.00152;+36.03072; 0.00992;  28.903;  14.452; 40.7;NGC 6306               ;NED;256.90370;+60.72873
256.9183397;+60.7508008;NGC 6307               ;090.02725;+36.02045; 0.01020; 108.326;  54.163; 41.9;NGC 6307               ;NED;256.91834;+60.75080
348.9830109;+13.1961332;NGC 7563               ;090.03063;-43.49089; 0.01392; 207.230; 103.615; 57.2;NGC 7563               ;NED;348.98301;+13.19613
233.5101094;+56.6855446;NGC 5965               ;090.06301;+48.75616; 0.01138; 300.710; 150.355; 46.7;NGC 5965               ;NED;233.51011;+56.68554
353.7542531;+04.8975480;NGC 7704               ;090.09344;-53.03157; 0.01908; 228.182; 114.091; 78.4;NGC 7704               ;NED;353.75425;+04.89755
253.1239152;+60.5144908;NGC 6258               ;090.14035;+37.89376; 0.01022;  35.538;  17.769; 42.0;NGC 6258               ;NED;253.12392;+60.51449
336.0717241;+32.4462885;NGC 7275               ;090.18111;-20.90694; 0.02179; 147.225;  73.613; 89.5;NGC 7275               ;NED;336.07172;+32.44629
353.7935197;+04.9642066;NGC 7706               ;090.20394;-52.99215; 0.01879; 174.173;  87.086; 77.2;NGC 7706               ;NED;353.79352;+04.96421
229.1799635;+55.4091783;NGC 5908               ;090.24760;+51.48748; 0.01103; 394.077; 197.039; 45.3;NGC 5908               ;NED;229.17996;+55.40918
256.9892110;+60.9901308;NGC 6310               ;090.31368;+35.95151; 0.01140; 103.461;  51.731; 46.8;NGC 6310               ;NED;256.98921;+60.99013
280.8017153;+60.6533309;NGC 6701               ;090.39665;+24.40157; 0.01323; 215.499; 107.749; 54.3;NGC 6701               ;NED;280.80172;+60.65333
330.8872612;+38.5566547;UGC 11890              ;090.39769;-13.48662; 0.01547; 135.456;  67.728; 63.5;UGC 11890              ;NED;330.88726;+38.55665
349.1860997;+13.4830210;NGC 7570               ;090.46225;-43.33905; 0.01567; 139.824;  69.912; 64.4;NGC 7570               ;NED;349.18610;+13.48302
325.6609467;+43.5158504;2MASX J21423859+4330562;090.50302;-07.15517; 0.01791; 190.627;  95.314; 73.5;2MASX J21423859+4330562;NED;325.66095;+43.51585
353.8845143;+05.2146544;UGC 12689              ;090.53538;-52.81615; 0.01927; 314.160; 157.080; 79.1;UGC 12689              ;NED;353.88451;+05.21465
267.5026857;+61.5317550;NGC 6491               ;090.55031;+30.87694; 0.01792; 165.562;  82.781; 73.6;NGC 6491               ;NED;267.50269;+61.53175
228.8470529;+55.5170967;NGC 5905               ;090.55674;+51.58895; 0.01131; 128.872;  64.436; 46.4;NGC 5905               ;NED;228.84705;+55.51710
224.6658138;+53.8860091;NGC 5820               ;090.58939;+54.50322; 0.01112; 175.675;  87.837; 45.7;NGC 5820               ;NED;224.66581;+53.88601
358.8070972;-03.7465014;MCG -01-01-002         ;090.63017;-63.03761; 0.02158; 137.597;  68.799; 88.6;MCG -01-01-002         ;NED;358.80710;-03.74650
004.2725556;-13.4871404;NGC 0062               ;090.76639;-74.17326; 0.02156; 179.459;  89.730; 88.5;NGC 0062               ;NED;004.27256;-13.48714
334.3321764;+35.5712050;UGC 11975              ;090.83831;-17.52194; 0.02091; 265.132; 132.566; 85.9;UGC 11975              ;NED;334.33218;+35.57120
227.6706853;+55.3497641;UGC 09759              ;090.92416;+52.23863; 0.01141;  45.270;  22.635; 46.8;UGC 09759              ;NED;227.67069;+55.34976
328.6087466;+41.7345438;2MASX J21542613+4144038;091.01975;-09.91464; 0.01834; 123.366;  61.683; 75.3;2MASX J21542613+4144038;NED;328.60875;+41.73454
259.4705620;+61.7807506;NGC 6359               ;091.08262;+34.66965; 0.00988;  98.742;  49.371; 40.6;NGC 6359               ;NED;259.47056;+61.78075
329.3713384;+41.2489345;UGC 11858              ;091.16271;-10.65106; 0.01429; 168.916;  84.458; 58.7;UGC 11858              ;NED;329.37134;+41.24893
331.0933406;+39.7437951;UGC 11895              ;091.27088;-12.64320; 0.01568; 164.703;  82.351; 64.4;UGC 11895              ;NED;331.09334;+39.74379
234.9888889;+58.0794637;NGC 5987               ;091.33497;+47.39381; 0.01004; 232.731; 116.366; 41.2;NGC 5987               ;NED;234.98889;+58.07946
356.3881844;+01.6887567;IC 1507                ;091.47729;-57.10382; 0.01776; 115.366;  57.683; 72.9;IC 1507                ;NED;356.38818;+01.68876
333.7602207;+37.3004317;IC 5191                ;091.49913;-15.84824; 0.02190; 230.610; 115.305; 89.9;IC 5191                ;NED;333.76022;+37.30043
333.8439310;+37.2807109;NGC 7240               ;091.54343;-15.90309; 0.01996; 199.944;  99.972; 82.0;NGC 7240               ;NED;333.84393;+37.28071
250.2946162;+61.3203740;UGC 10517              ;091.54732;+39.04562; 0.01866; 256.419; 128.210; 76.6;UGC 10517              ;NED;250.29462;+61.32037
355.3710994;+03.7400263;NGC 7731               ;091.57153;-54.81538; 0.00963;  33.233;  16.616; 39.5;NGC 7731               ;NED;355.37110;+03.74003
255.9020771;+62.0255785;NGC 6297               ;091.68242;+36.29605; 0.01666; 106.606;  53.303; 68.4;NGC 6297               ;NED;255.90208;+62.02558
355.3311838;+04.0174851;IC 1504                ;091.73277;-54.55103; 0.02092; 298.420; 149.210; 85.9;IC 1504                ;NED;355.33118;+04.01748
332.8804660;+38.7214024;NGC 7227               ;091.78131;-14.29090; 0.02175; 253.411; 126.706; 89.3;NGC 7227               ;NED;332.88047;+38.72140
332.9524255;+38.6992172;NGC 7228               ;091.81461;-14.34193; 0.02186; 376.191; 188.096; 89.8;NGC 7228               ;NED;332.95243;+38.69922
332.4060939;+39.2828225;UGC 11929              ;091.81774;-13.62020; 0.01569; 148.891;  74.445; 64.4;UGC 11929              ;NED;332.40609;+39.28282
332.8000003;+38.9273234;IC 5180                ;091.85450;-14.08768; 0.01996; 374.377; 187.188; 82.0;IC 5180                ;NED;332.80000;+38.92732
335.9470229;+35.3899748;UGC 12020              ;091.86281;-18.42325; 0.02019; 177.473;  88.736; 82.9;UGC 12020              ;NED;335.94702;+35.38997
330.7417964;+41.0590402;NGC 7197               ;091.87159;-11.43639; 0.01460; 420.602; 210.301; 60.0;NGC 7197               ;NED;330.74180;+41.05904
337.1427057;+33.9991215;CGCG 514-036           ;091.90410;-20.12598; 0.02031; 197.778;  98.889; 83.4;Z 514-036              ;NED;337.14271;+33.99912
333.1313872;+38.6828241;UGC 11950              ;091.92126;-14.43737; 0.02054; 549.327; 274.663; 84.4;UGC 11950              ;NED;333.13139;+38.68282
335.7600546;+35.8209041;UGC 12012              ;091.98646;-17.98165; 0.01593;  81.110;  40.555; 65.4;UGC 12012              ;NED;335.76005;+35.82090
226.6227997;+55.7631391;NGC 5866               ;092.03399;+52.48933; 0.00224; 133.367;  66.683;  9.2;NGC 5866               ;NED;226.62280;+55.76314
001.2723485;-07.0934295;IC 1528                ;092.05685;-67.14427; 0.01270;  89.976;  44.988; 52.2;                       ;NED;001.27235;-07.09343
335.2876316;+36.5909322;UGC 11995              ;092.11412;-17.13110; 0.01994; 193.214;  96.607; 81.9;UGC 11995              ;NED;335.28763;+36.59093
335.6144288;+36.2098793;NGC 7265               ;092.11507;-17.59412; 0.01695; 618.847; 309.423; 69.6;NGC 7265               ;NED;335.61443;+36.20988
359.7949792;-04.1918415;MCG -01-01-012         ;092.11551;-63.89163; 0.01922; 175.481;  87.740; 78.9;MCG -01-01-012         ;NED;359.79498;-04.19184
335.5573371;+36.3870431;NGC 7264               ;092.18026;-17.42196; 0.01424; 151.498;  75.749; 58.5;NGC 7264               ;NED;335.55734;+36.38704
359.7946450;-04.1270078;IC 1490                ;092.18205;-63.83380; 0.01916; 264.593; 132.297; 78.7;IC 1490                ;NED;359.79464;-04.12701
333.0956292;+39.2795398;UGC 11949              ;092.25931;-13.93794; 0.01926; 179.376;  89.688; 79.1;UGC 11949              ;NED;333.09563;+39.27954
250.8465836;+61.9839033;NGC 6202               ;092.28281;+38.62052; 0.01872; 170.451;  85.225; 76.9;NGC 6202               ;NED;250.84658;+61.98390
336.0462296;+36.1259109;NGC 7274               ;092.36800;-17.85968; 0.02043; 542.746; 271.373; 83.9;NGC 7274               ;NED;336.04623;+36.12591
252.0160785;+62.2004004;NGC 6244               ;092.37502;+38.03635; 0.01460; 129.620;  64.810; 60.0;NGC 6244               ;NED;252.01608;+62.20040
296.7813175;+59.9071106;NGC 6829               ;092.39636;+16.68790; 0.01096; 112.649;  56.324; 45.0;NGC 6829               ;NED;296.78132;+59.90711
296.9885661;+59.8925463;NGC 6831               ;092.42968;+16.58792; 0.01147;  92.974;  46.487; 47.1;NGC 6831               ;NED;296.98857;+59.89255
336.7018446;+35.5187637;UGC 12039              ;092.47653;-18.66005; 0.02006; 366.032; 183.016; 82.4;UGC 12039              ;NED;336.70184;+35.51876
326.0406701;+46.2461610;UGC 11804              ;092.50619;-05.26795; 0.01821; 262.150; 131.075; 74.8;UGC 11804              ;NED;326.04067;+46.24616
331.0276306;+41.8193834;UGC 11894              ;092.51554;-10.96204; 0.01762; 204.195; 102.098; 72.4;UGC 11894              ;NED;331.02763;+41.81938
215.5783968;+50.5013173;NGC 5602               ;092.56259;+60.92908; 0.00744;  51.701;  25.851; 30.5;NGC 5602               ;NED;215.57840;+50.50132
310.4253234;+55.6981742;MCG +09-34-001         ;092.60839;+08.31272; 0.00953;  44.955;  22.477; 39.1;MCG +09-34-001         ;NED;310.42532;+55.69817
335.6227188;+37.1082616;UGC 12006              ;092.65120;-16.85594; 0.02045; 287.173; 143.587; 84.0;UGC 12006              ;NED;335.62272;+37.10826
209.2418799;+45.9731545;UGC 08876              ;092.66341;+67.11455; 0.00692;  23.689;  11.845; 28.4;UGC 08876              ;NED;209.24188;+45.97315
212.5634375;+48.5460019;NGC 5500               ;092.68858;+63.69453; 0.00663;  16.556;   8.278; 27.2;NGC 5500               ;NED;212.56344;+48.54600
332.3642587;+40.9897364;UGC 11927              ;092.82937;-12.22649; 0.01494; 121.427;  60.713; 61.3;UGC 11927              ;NED;332.36426;+40.98974
352.2658967;+11.4451917;NGC 7683               ;092.84223;-46.55787; 0.01243; 207.711; 103.856; 51.0;NGC 7683               ;NED;352.26590;+11.44519
331.1504671;+42.3273218;UGC 11898              ;092.90162;-10.61207; 0.01431; 120.856;  60.428; 58.8;UGC 11898              ;NED;331.15047;+42.32732
351.8305600;+12.4674423;NGC 7671               ;092.96631;-45.45381; 0.01377; 232.089; 116.045; 56.5;NGC 7671               ;NED;351.83056;+12.46744
234.9043786;+59.3318767;NGC 5985               ;092.97918;+46.82955; 0.00840; 248.847; 124.424; 34.5;NGC 5985               ;NED;234.90438;+59.33188
336.7740089;+36.3616325;UGC 12040              ;093.01855;-17.98990; 0.02133; 297.912; 148.956; 87.6;UGC 12040              ;NED;336.77401;+36.36163
234.6656727;+59.3558255;NGC 5982               ;093.09747;+46.92362; 0.01006; 560.497; 280.248; 41.3;NGC 5982               ;NED;234.66567;+59.35583
336.6532678;+36.7289366;UGC 12037              ;093.14627;-17.62999; 0.02015; 128.739;  64.369; 82.8;UGC 12037              ;NED;336.65327;+36.72894
335.6674278;+37.9776344;UGC 12009              ;093.19085;-16.15640; 0.00414;   5.112;   2.556; 17.0;UGC 12009              ;NED;335.66743;+37.97763
251.6497836;+62.8226525;UGC 10561              ;093.19368;+38.04484; 0.01904; 232.733; 116.367; 78.2;UGC 10561              ;NED;251.64978;+62.82265
338.9661067;+33.9449324;NGC 7317               ;093.22938;-20.99189; 0.02201; 180.097;  90.049; 90.4;NGC 7317               ;NED;338.96611;+33.94493
340.2815747;+32.1698890;UGC 12149              ;093.23311;-23.08141; 0.02441; 232.711; 116.355;100.2;UGC 12149              ;NED;340.28157;+32.16989
344.5729857;+25.7711805;UGC 12272              ;093.24432;-30.49824; 0.02426; 212.407; 106.204; 99.6;UGC 12272              ;NED;344.57299;+25.77118
332.7682174;+41.2826587;UGC 11937              ;093.25742;-12.16889; 0.01361; 101.167;  50.584; 55.9;UGC 11937              ;NED;332.76822;+41.28266
252.0841611;+62.9764025;NGC 6247               ;093.31853;+37.81441; 0.01494; 107.429;  53.714; 61.4;NGC 6247               ;NED;252.08416;+62.97640
344.4896983;+26.1499805;NGC 7436B              ;093.38333;-30.13123; 0.02460; 972.877; 486.438;101.0;NGC 7436B              ;NED;344.48970;+26.14998
348.7641557;+18.9734677;NGC 7547               ;093.45400;-38.31953; 0.01592; 167.789;  83.895; 65.4;NGC 7547               ;NED;348.76416;+18.97347
244.3320438;+61.9390573;NGC 6123               ;093.48125;+41.54136; 0.01329;  70.725;  35.362; 54.6;NGC 6123               ;NED;244.33204;+61.93906
348.8166744;+18.9618186;NGC 7550               ;093.50326;-38.35284; 0.01692; 502.210; 251.105; 69.5;NGC 7550               ;NED;348.81667;+18.96182
348.2160535;+20.2484411;NGC 7516               ;093.62296;-36.95051; 0.01665; 206.496; 103.248; 68.4;NGC 7516               ;NED;348.21605;+20.24844
332.6593451;+42.0213295;UGC 11935              ;093.63259;-11.52280; 0.01471; 199.727;  99.863; 60.4;UGC 11935              ;NED;332.65934;+42.02133
351.4820227;+14.2098259;NGC 7659               ;093.64794;-43.74635; 0.01323;  99.963;  49.981; 54.3;NGC 7659               ;NED;351.48202;+14.20983
338.8820452;+34.8034272;NGC 7315               ;093.65343;-20.22750; 0.02106; 367.873; 183.937; 86.5;NGC 7315               ;NED;338.88205;+34.80343
010.6909220;-23.5613954;NGC 0232               ;093.67385;-85.93045; 0.02217; 348.496; 174.248; 91.1;NGC 0232               ;NED;010.69092;-23.56140
359.0162286;-00.9884426;IC 1515                ;093.69009;-60.67725; 0.02223; 214.065; 107.032; 91.3;IC 1515                ;NED;359.01623;-00.98844
334.2246778;+40.5023803;NGC 7248               ;093.71494;-13.44243; 0.01463; 311.099; 155.549; 60.1;NGC 7248               ;NED;334.22468;+40.50238
337.4685182;+36.7193219;UGC 12056              ;093.71540;-17.99534; 0.02495; 391.764; 195.882;102.5;UGC 12056              ;NED;337.46852;+36.71932
339.2670049;+34.4156829;NGC 7331               ;093.72194;-20.72410; 0.00272; 307.268; 153.634; 11.2;NGC 7331               ;NED;339.26700;+34.41568
339.3608584;+34.3743462;NGC 7337               ;093.76913;-20.79999; 0.02195; 216.938; 108.469; 90.2;NGC 7337               ;NED;339.36086;+34.37435
339.3307429;+34.4477885;NGC 7335               ;093.78780;-20.72445; 0.02106; 577.711; 288.855; 86.5;NGC 7335               ;NED;339.33074;+34.44779
350.1255159;+17.2255715;NGC 7625               ;093.90790;-40.46578; 0.00545;  53.914;  26.957; 22.4;NGC 7625               ;NED;350.12552;+17.22557
351.2056018;+15.2756050;NGC 7653               ;093.97491;-42.67371; 0.01423; 163.838;  81.919; 58.4;NGC 7653               ;NED;351.20560;+15.27560
341.8543614;+31.3735671;UGC 12185              ;094.04211;-24.45026; 0.02218; 164.313;  82.156; 91.1;UGC 12185              ;NED;341.85436;+31.37357
339.4183459;+34.8465168;UGC 12121              ;094.07671;-20.42276; 0.02315; 232.088; 116.044; 95.1;UGC 12121              ;NED;339.41835;+34.84652
010.7200468;-23.5410618;NGC 0235A              ;094.14037;-85.92509; 0.02223; 294.054; 147.027; 91.3;NGC 0235A              ;NED;010.72005;-23.54106
333.6973851;+42.1842135;UGC 11961              ;094.36960;-11.83706; 0.01402; 105.358;  52.679; 57.6;UGC 11961              ;NED;333.69739;+42.18421
243.6254152;+62.5366415;IC 1210                ;094.38707;+41.62098; 0.00977;  29.213;  14.607; 40.1;IC 1210                ;NED;243.62542;+62.53664
