_RAJ2000;_DEJ2000;FFF98;xpos;ypos;MType;n;F814W;Vzmag;F606W-F814W;(B-V)z;rc;M;_RA;_DE
209.9285908;+62.4929133; 256; -51.6; -88.5;E   ;4;18.06;18.95; 1.226; 0.875; 1.04;M;209.92859;+62.49291
209.9577603;+62.4954722; 264;  -3.1; -79.3;Irr ;1;21.86;22.57; 0.229; 0.058; 2.20;M;209.95776;+62.49547
209.9951131;+62.4958567; 265;  59.0; -77.9;S0  ;3;19.59;20.47; 1.229; 0.878; 0.59;M;209.99511;+62.49586
209.9495800;+62.4961386; 269; -16.7; -76.9;E   ;4;18.19;19.12; 1.272; 0.913; 0.93;M;209.94958;+62.49614
209.8764986;+62.4957808; 271;-138.2; -78.1;?   ;1;21.16;21.93; 0.649; 0.402; 0.25;M;209.87650;+62.49578
209.9277453;+62.4962464; 272; -53.0; -76.5;E   ;3;20.02;20.90; 1.238; 0.885; 0.31;M;209.92775;+62.49625
209.9477750;+62.4970550; 278; -19.7; -73.6;S0  ;2;19.75;20.66; 1.234; 0.882; 0.48;M;209.94777;+62.49705
210.0012506;+62.4973828; 279;  69.2; -72.4;E   ;3;19.71;20.60; 1.133; 0.799; 0.58;M;210.00125;+62.49738
209.8533356;+62.4973486; 283;-176.7; -72.4;?   ;3;20.40;21.29; 1.266; 0.908; 0.49;M;209.85334;+62.49735
209.9607681;+62.4984444; 285;   1.9; -68.6;S0  ;3;20.76;21.67; 1.215; 0.866; 0.51;M;209.96077;+62.49844
209.9144486;+62.4985483; 288; -75.1; -68.2;S0  ;3;19.83;20.75; 1.214; 0.866; 0.40;M;209.91445;+62.49855
209.9692500;+62.4993053; 290;  16.0; -65.5;Irr ;1;20.32;21.16; 0.907; 0.614; 1.14;M;209.96925;+62.49931
209.9830261;+62.4995536; 292;  38.9; -64.6;E/S0;2;19.14;20.00; 1.105; 0.776; 1.16;M;209.98303;+62.49955
209.9759275;+62.4996381; 293;  27.1; -64.3;?   ;3;20.78;21.69; 1.193; 0.848; 0.21;M;209.97593;+62.49964
209.9566169;+62.5004722; 295;  -5.0; -61.3;S0  ;3;19.29;20.19; 1.205; 0.858; 0.82;M;209.95662;+62.50047
209.9477733;+62.5011661; 298; -19.7; -58.8;S0  ;2;18.52;19.44; 1.273; 0.914; 0.93;M;209.94777;+62.50117
209.9324917;+62.5023308; 299; -45.1; -54.6;E   ;4;20.55;21.45; 1.176; 0.834; 0.49;M;209.93249;+62.50233
209.9506006;+62.5025275; 300; -15.0; -53.9;S0  ;2;19.10;20.01; 1.230; 0.879; 0.48;M;209.95060;+62.50253
209.9060800;+62.5025453; 303; -89.0; -53.8;E   ;3;19.12;20.03; 1.206; 0.859; 0.60;M;209.90608;+62.50255
210.0502950;+62.5040261; 305; 150.7; -48.4;?   ;2;20.08;20.98; 1.170; 0.829; 1.46;M;210.05029;+62.50403
209.9438011;+62.5046381; 309; -26.3; -46.3;E   ;4;18.94;19.86; 1.255; 0.899; 0.51;M;209.94380;+62.50464
209.9581208;+62.5048611; 311;  -2.5; -45.5;S0  ;3;20.42;21.32; 1.185; 0.842; 0.28;M;209.95812;+62.50486
210.0874903;+62.5069972; 318; 212.5; -37.6;E   ;3;20.14;21.05; 1.151; 0.814; 0.49;M;210.08749;+62.50700
209.9774958;+62.5064711; 319;  29.7; -39.7;S0  ;3;19.71;20.64; 1.259; 0.902; 0.48;M;209.97750;+62.50647
209.9736450;+62.5069158; 323;  23.3; -38.1;S0  ;3;20.23;21.14; 1.189; 0.845; 0.47;M;209.97364;+62.50692
209.9572181;+62.5072778; 328;  -4.0; -36.8;S0  ;3;19.26;20.11; 0.927; 0.630; 1.15;M;209.95722;+62.50728
210.0794914;+62.5079486; 329; 199.2; -34.2;S0  ;3;19.88;20.77; 1.160; 0.821; 0.79;M;210.07949;+62.50795
209.8714122;+62.5072222; 331;-146.6; -36.9;?   ;1;20.96;21.86; 1.213; 0.865; 0.19;M;209.87141;+62.50722
209.9651611;+62.5085556; 335;   9.2; -32.2;S0  ;4;19.67;20.58; 1.207; 0.860; 0.59;M;209.96516;+62.50856
209.9209300;+62.5104669; 343; -64.3; -25.3;S0  ;3;19.95;20.80; 0.976; 0.670; 0.56;M;209.92093;+62.51047
209.9366367;+62.5105814; 344; -38.2; -24.9;S0  ;3;19.98;20.87; 1.169; 0.829; 1.70;M;209.93664;+62.51058
209.9546903;+62.5110833; 346;  -8.2; -23.1;S0  ;4;18.98;19.87; 1.109; 0.779; 0.39;M;209.95469;+62.51108
209.9283914;+62.5111353; 347; -51.9; -22.9;E   ;4;19.25;20.14; 1.202; 0.856; 0.74;M;209.92839;+62.51114
209.9979008;+62.5120225; 349;  63.6; -19.7;S0  ;3;20.65;21.54; 1.174; 0.833; 0.74;M;209.99790;+62.51202
209.9539078;+62.5119444; 350;  -9.5; -20.0;S0  ;1;20.34;21.26; 1.240; 0.887; 0.25;M;209.95391;+62.51194
209.8940275;+62.5115958; 351;-109.0; -21.2;S   ;4;19.26;20.15; 1.084; 0.759; 0.90;M;209.89403;+62.51160
209.9559539;+62.5125833; 352;  -6.1; -17.7;E   ;3;20.08;20.99; 1.225; 0.875; 0.39;M;209.95595;+62.51258
209.9643192;+62.5126111; 353;   7.8; -17.6;E   ;4;18.50;19.41; 1.243; 0.889; 1.25;M;209.96432;+62.51261
209.9618519;+62.5129722; 354;   3.7; -16.3;E   ;3;20.20;21.11; 1.224; 0.874; 0.31;M;209.96185;+62.51297
209.9456617;+62.5143881; 356; -23.2; -11.2;S0  ;4;18.73;19.64; 1.244; 0.890; 0.86;M;209.94566;+62.51439
209.9586619;+62.5145000; 357;  -1.6; -10.8;E   ;3;19.99;20.90; 1.217; 0.868; 0.23;M;209.95866;+62.51450
209.9625742;+62.5146667; 358;   4.9; -10.2;S0  ;4;20.02;20.92; 1.223; 0.873; 0.44;M;209.96257;+62.51467
209.9997706;+62.5149942; 359;  66.7;  -9.0;E/S0;3;19.01;19.91; 1.196; 0.851; 0.61;M;209.99977;+62.51499
209.9607083;+62.5149444; 360;   1.8;  -9.2;E   ;1;19.78;20.69; 1.208; 0.861; 0.93;M;209.96071;+62.51494
209.9938722;+62.5151625; 361;  56.9;  -8.4;S0  ;3;20.12;21.01; 1.197; 0.852; 0.64;M;209.99387;+62.51516
210.0426275;+62.5161697; 366; 137.9;  -4.7;S0  ;3;19.32;20.22; 1.211; 0.863; 0.75;M;210.04263;+62.51617
209.9601064;+62.5161111; 368;   0.8;  -5.0;S0  ;4;19.53;20.43; 1.208; 0.861; 3.55;M;209.96011;+62.51611
210.0333592;+62.5165361; 369; 122.5;  -3.4;S0  ;4;19.53;20.43; 1.230; 0.879; 1.04;M;210.03336;+62.51654
210.0121119;+62.5166847; 371;  87.2;  -2.9;S0  ;3;18.77;19.67; 1.221; 0.871; 2.07;M;210.01211;+62.51668
209.8972672;+62.5164306; 372;-103.6;  -3.8;S0  ;2;19.16;20.07; 1.216; 0.867; 2.77;M;209.89727;+62.51643
209.9596250;+62.5175000; 375;   0.0;   0.0;E   ;4;18.14;19.05; 1.249; 0.894; 2.86;M;209.95962;+62.51750
209.9921900;+62.5179128; 376;  54.1;   1.5;S0  ;2;19.55;20.46; 1.227; 0.876; 0.40;M;209.99219;+62.51791
210.0705044;+62.5185117; 377; 184.2;   3.8;S   ;1;19.71;20.55; 0.939; 0.640; 9.06;M;210.07050;+62.51851
209.9428906;+62.5188878; 380; -27.8;   5.0;?   ;1;20.13;20.95; 0.805; 0.530; 1.99;M;209.94289;+62.51889
209.9595647;+62.5191667; 381;  -0.1;   6.0;E   ;3;19.06;19.94; 1.215; 0.866; 1.48;M;209.95956;+62.51917
209.9658253;+62.5196111; 383;  10.3;   7.6;S0  ;3;20.38;21.28; 1.182; 0.839; 0.98;M;209.96583;+62.51961
209.9579997;+62.5198056; 386;  -2.7;   8.3;?   ;4;19.81;20.69; 1.220; 0.870; 0.53;M;209.95800;+62.51981
209.9213378;+62.5208281; 388; -63.6;  12.0;S0  ;1;21.03;21.93; 1.204; 0.857; 0.76;M;209.92134;+62.52083
209.9483072;+62.5211661; 391; -18.8;  13.2;E/S0;3;18.67;19.55; 1.255; 0.899; 1.68;M;209.94831;+62.52117
210.0261508;+62.5230953; 394; 110.5;  20.2;S0  ;1;20.46;21.33; 1.182; 0.839; 1.38;M;210.02615;+62.52310
209.9196497;+62.5227164; 396; -66.4;  18.8;Irr ;1;20.33;21.13; 0.710; 0.452; 1.98;M;209.91965;+62.52272
209.9098967;+62.5228522; 397; -82.6;  19.3;S0  ;4;19.63;20.52; 1.197; 0.852; 0.78;M;209.90990;+62.52285
209.9916544;+62.5238575; 400;  53.2;  22.9;S0  ;3;20.61;21.51; 1.191; 0.847; 0.22;M;209.99165;+62.52386
209.8866547;+62.5241756; 406;-121.2;  24.1;?   ;3;21.04;21.90; 1.081; 0.756; 0.37;M;209.88665;+62.52418
